width 60
height 40
ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,ff0000ff,
ff0000ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff0000ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff0000ff,ff,ff,ff,0,0,0,ff,0,0,ff,0,0,0,0,0,0,ff,0,0,ff0000ff,
ff0000ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff,0,ff,0,ff,0,ff,ff,0,ff,0,ff,0,ff,ff,ff,ff,0,ff,ff0000ff,
ff0000ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff,0,ff,ff,ff,0,0,0,0,ff,0,ff,0,0,ff,0,ff,0,ff,ff0000ff,
ff0000ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff,0,0,0,0,0,ff,ff,0,0,0,0,ff,0,0,0,ff,0,0,ff0000ff,
ff0000ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff,0,ff,ff,ff,ff,ff,ff,ff,0,ff,0,0,0,ff,ff,ff,0,ff,ff0000ff,
ff0000ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff,0,0,0,0,0,0,ff,0,0,ff,0,ff,0,0,0,ff,0,0,ff0000ff,
ff0000ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff,0,ff,0,ff,0,ff,ff,0,ff,ff,0,ff,0,ff,0,ff,0,ff,ff0000ff,
ff0000ff,ff00ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff,0,ff,ff,ff,0,ff,0,0,ff,ff,ff,ff,ff,ff,ff,0,0,0,ff0000ff,
ff0000ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff,0,ff,0,0,0,ff,0,ff,ff,0,0,0,ff,0,ff,ff,ff,0,ff0000ff,
ff0000ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff999999,0,0,0,0,0,ff,0,0,0,0,0,0,ff,0,0,0,0,ff,0,0,ff0000ff,
ff0000ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ffffff,ffff00ff,ffff00ff,ffff00ff,ff,ff,ff,ff,ff,ff,ff,ff,0,ff,ff,ff,ff,ff,0,0,ff,ff,0,ff0000ff,
ff0000ff,ff00ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ffff00ff,0,0,0,ffffff,ffff00ff,0,0,ff,0,ff,ff,0,0,0,ff,0,ff,0,0,0,ff,ff,0,ff,0,0,ff0000ff,
ff0000ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ffff00ff,ffff00ff,ffff00ff,ffff00ff,ffff00ff,ffffff,0,0,0,ff,0,ff,0,0,ff,ff,ff,0,ff,0,ff,0,ff,ff,0,ff,0,ff,ff0000ff,
ff0000ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ffffff,0,0,0,ff,0,ff,ff,0,0,0,0,0,ff,0,ff,0,0,0,0,ff,0,ff,ff0000ff,
ff0000ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ffffff,0,0,0,ff,0,0,0,0,ff,0,ff,0,0,0,ff,0,ff,0,0,ff,0,0,ff0000ff,
ff0000ff,ff00ffff,ff00ffff,ff00ffff,ff00ffff,ff00ffff,ff00ffff,ff00ffff,ff00ffff,ff00ffff,ff00ffff,ff00ffff,ff00ffff,ff00ffff,ff00ffff,ff00ffff,ff00ffff,ff00ffff,ff00ffff,ff00ffff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ffffff,0,0,0,ff,ff,0,ff,ff,ff,ff,ff,0,ff,0,ff,ff,ff,ff,0,ff,0,ff,ff0000ff,
ff0000ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ffff00ff,0,0,0,0,0,ffffff,0,0,0,ff,ff,0,0,ff,0,0,ff,0,ff,0,0,0,0,ff,0,ff,0,0,ff0000ff,
ff0000ff,0,0,ff00ff,0,0,0,0,0,0,0,0,0,0,0,0,0,ff00ff,0,0,0,0,ffffff,ffff00ff,0,0,0,0,0,ffff00ff,ffff00ff,0,0,0,0,0,ffffff,0,0,0,ff,ff,ff,ff,ff,0,ff,ff,ff,ff,ff,0,ff,0,0,ff,ff,ff,0,ff0000ff,
ff0000ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ffffff,0,ffff00ff,0,ffff00ff,ffff00ff,ffff00ff,0,0,0,ffff00ff,0,ffff00ff,ffff00ff,ffff00ff,0,0,0,ff,0,0,0,0,0,0,0,0,0,0,0,ff,0,ff,ff,0,ff,0,ff0000ff,
ff0000ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ffffff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff,0,ff,ff,ff,ff,ff,0,ff,ff,ff,0,ff,0,0,0,0,ff,0,ff0000ff,
ff0000ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ffffff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff,0,0,0,ff,0,0,0,0,ff,0,0,ff,0,ff,ff,ff,ff,0,ff0000ff,
ff0000ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ffffff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff,ff,ff,0,0,ff,ff,0,ff,ff,0,ff,ff,0,ff,0,0,0,0,ff0000ff,
ff0000ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ffff00ff,ffff00ff,ffff00ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff,0,ff,ff,0,0,ff,0,0,0,0,0,0,0,0,0,ff,ff,0,ff0000ff,
ff0000ff,ff888888,ff888888,ff888888,ff888888,ff888888,ff888888,ff888888,ff888888,ff888888,ff888888,ff888888,ff888888,ff888888,ff888888,ff888888,ff888888,ff888888,ff888888,ff888888,0,0,0,0,0,ffff00ff,0,ffff00ff,ffff00ff,0,ffff00ff,0,ffff00ff,0,ffff00ff,ffff00ff,ffffff,0,0,0,ff,0,0,ff,ff,0,0,0,ff,ff,0,ff,0,ff,ff,0,ff,0,0,ff0000ff,
ff0000ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ffffff,0,0,0,ff,ff,0,ff,0,0,ff,0,ff,0,0,ff,0,0,0,0,ff,0,ff,ff0000ff,
ff0000ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ffffff,0,0,0,ff,ff,0,0,0,ff,ff,ff,ff,0,ff,ff,ff,0,ff,0,0,0,0,ff0000ff,
ff0000ff,0,ffff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ffffff,ffff00ff,0,0,0,0,0,0,0,0,0,0,0,0,ffffff,0,0,0,ff,ff,ff,ff,ff,ff,0,ff,0,0,ff,0,ff,0,ff,0,0,ff,0,ff0000ff,
ff0000ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ffffff,0,ffff00ff,0,0,0,0,ffff00ff,ffff00ff,ffff00ff,0,0,0,ffff00ff,ffff00ff,0,0,0,ff,0,ff,0,0,0,0,0,0,0,0,0,ff,0,0,0,ff,ff,ff,ff0000ff,
ff0000ff,0,0,0,0,ff00ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ffffff,0,0,0,ffff00ff,0,ffff00ff,0,0,0,0,ffff00ff,0,0,0,0,0,0,ff,0,ff,0,ff,0,ff,ff,ff,0,ff,ff,ff,ff,0,0,0,0,ff,ff0000ff,
ff0000ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ffffff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff,0,ff,ff,ff,0,ff,0,0,0,0,ff,0,ff,0,ff,0,ff,ff,ff0000ff,
ff0000ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ffffff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff,0,0,0,0,0,ff,ff,0,ff,0,0,0,0,0,ff,0,ff,0,ff0000ff,
ff0000ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ffff00ff,ffff00ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff,ff,0,ff,ff,ff,0,ff,0,ff,0,ff,ff,ff,0,ff,ff,ff,0,ff0000ff,
